label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,10,21,421,0.945315,-1.171723,-0.942184,-43.924023,-64.418907,-0.663047
2,10,22,441,0.946292,-1.244965,-1.012985,-47.799023,-55.668907,-0.663047
2,10,23,461,0.930178,-1.280610,-1.052536,-60.486523,-45.418907,-10.350547
2,10,24,481,0.942385,-1.199555,-1.065720,-61.986523,-35.168907,-24.663048
2,10,25,501,0.993167,-1.047211,-1.055466,-57.861523,-27.668907,-31.163048
2,10,26,521,1.006350,-0.960297,-1.057907,-46.049023,-25.668907,-24.725548
2,10,27,541,0.992190,-0.976411,-1.059372,-29.674023,-26.231407,-15.725547
2,10,28,561,0.957522,-1.064301,-1.088181,-10.299024,-26.606407,-18.413048
2,10,29,581,0.954592,-1.059907,-1.120407,3.263477,-30.543907,-30.350548
2,10,30,601,0.959963,-0.978364,-1.167282,19.513477,-33.231407,-39.100548
2,10,31,621,0.950198,-0.943696,-1.213669,26.138477,-32.981407,-36.038048
2,10,32,641,0.900881,-0.938325,-1.233200,24.013477,-29.043907,-36.850548
2,10,33,661,0.870608,-0.816254,-1.235641,32.325977,-16.231407,-46.850548
2,10,34,681,0.886721,-0.664887,-1.199509,26.700977,2.643594,-42.038048
2,10,35,701,0.901370,-0.610200,-1.055954,12.075976,22.893593,-31.225548
2,10,36,721,0.909670,-0.635590,-0.924606,18.200977,28.643593,-27.163048
2,10,37,741,0.893069,-0.633637,-0.912888,37.013477,25.643593,-29.663048
2,10,38,761,0.893557,-0.590180,-0.932907,43.138477,28.768593,-31.100548
2,10,39,781,0.908694,-0.534028,-0.872360,41.825977,32.643593,-30.850548
2,10,40,801,0.927249,-0.497407,-0.800583,47.138477,35.143593,-27.663048
2,10,41,821,0.934573,-0.538422,-0.750778,45.450977,36.456093,-19.100548
2,10,42,841,0.937991,-0.590180,-0.699997,30.513477,39.643593,-13.850547
2,10,43,861,0.959475,-0.603364,-0.639938,15.325976,43.081093,-8.663047
2,10,44,881,0.970706,-0.609223,-0.577927,11.638476,42.143593,-6.350547
2,10,45,901,0.995120,-0.615571,-0.532516,17.263477,37.331093,-4.288047
2,10,46,921,0.994143,-0.656098,-0.519821,20.075977,27.081093,-2.288047
2,10,47,941,0.983401,-0.708832,-0.541306,20.513477,19.706093,-2.663047
2,10,48,961,0.982913,-0.731782,-0.555954,13.888476,15.393594,-3.163047
2,10,49,981,0.984866,-0.755219,-0.574509,4.638476,12.143594,-2.288047
2,10,50,1001,0.985354,-0.756684,-0.596481,2.013477,7.831094,-4.038047
2,10,51,1021,0.985842,-0.738618,-0.628220,2.950977,3.268594,-4.413047
2,10,52,1041,0.980959,-0.745942,-0.662399,3.638477,-0.543906,-3.850547
2,10,53,1061,0.980959,-0.749848,-0.685837,2.325977,-2.981406,-4.725547
2,10,54,1081,0.986819,-0.726899,-0.707809,-1.861523,-4.793906,-4.350547
2,10,55,1101,0.987795,-0.719575,-0.734665,-3.736523,-6.356406,-1.913047
2,10,56,1121,0.973147,-0.729340,-0.762497,-3.611523,-6.606406,-1.225547
2,10,57,1141,0.976077,-0.726411,-0.779099,-0.611523,-6.418906,-2.725547
2,10,58,1161,0.977053,-0.710786,-0.793747,1.325977,-6.106406,-2.038047
2,10,59,1181,0.965334,-0.722016,-0.804489,2.575977,-4.356406,0.211953
2,10,60,1201,0.956545,-0.743989,-0.806931,-1.674023,-2.168906,0.774453
2,10,61,1221,0.949221,-0.749848,-0.801071,-5.111524,-0.043906,-0.163047
2,10,62,1241,0.957034,-0.726411,-0.783493,-4.486524,0.956094,-0.538047
2,10,63,1261,0.954592,-0.722016,-0.778122,-0.361523,0.893594,-0.663047
2,10,64,1281,0.953616,-0.725922,-0.769821,0.638477,1.018594,-0.725547
2,10,65,1301,0.958499,-0.722993,-0.757126,0.138477,0.456094,-1.288047
2,10,66,1321,0.962405,-0.716157,-0.760056,-1.111523,-0.043906,-0.538047
2,10,67,1341,0.951174,-0.725434,-0.772263,-1.111523,0.643594,-0.038047
2,10,68,1361,0.959475,-0.728852,-0.761520,-2.674023,1.768594,-0.413047
2,10,69,1381,0.966799,-0.726899,-0.747360,-2.111523,0.268594,-0.850547
2,10,70,1401,0.967776,-0.713227,-0.759567,1.013477,-1.356406,-1.225547
2,10,71,1421,0.965334,-0.711274,-0.773727,-0.299023,-1.481406,-0.100547
2,10,72,1441,0.958010,-0.722504,-0.772263,-3.424023,-0.168906,0.711953
2,10,73,1461,0.959963,-0.722016,-0.760056,-2.299023,0.393594,0.399453
2,10,74,1481,0.960940,-0.722504,-0.762497,-0.236523,-0.481406,0.524453
2,10,75,1501,0.956057,-0.735688,-0.765427,-0.736523,-0.293906,0.586953
2,10,76,1521,0.961917,-0.753266,-0.748337,-2.111523,-1.981406,0.711953
2,10,77,1541,0.961428,-0.760590,-0.728806,-4.361524,-4.981406,1.149453
2,10,78,1561,0.953127,-0.745942,-0.741989,-0.549023,-8.356406,-1.600547
2,10,79,1581,0.961428,-0.720551,-0.764450,-3.111523,-9.668906,-1.913047
2,10,80,1601,0.958010,-0.722993,-0.777145,-3.924023,-10.668906,-1.038047
2,10,81,1621,0.943362,-0.726411,-0.815720,3.138477,-8.418906,-1.788047
2,10,82,1641,0.923342,-0.681000,-0.828903,10.325976,-4.481406,-5.600547
2,10,83,1661,0.970706,-0.716645,-0.817673,-11.736524,-3.543906,0.461953
2,10,84,1681,0.954592,-0.734223,-0.785934,5.388476,1.268594,-0.725547
2,10,85,1701,0.956057,-0.711274,-0.815231,1.138477,0.581094,-0.663047
2,10,86,1721,0.957522,-0.722993,-0.803024,3.700977,2.831094,-0.788047
2,10,87,1741,0.953127,-0.708344,-0.816696,3.575977,4.331094,-0.600547
2,10,88,1761,0.962405,-0.708832,-0.789352,1.263477,7.206094,0.774453
2,10,89,1781,0.966311,-0.724946,-0.763474,0.700977,6.456094,1.649453
2,10,90,1801,0.959475,-0.704926,-0.762009,-5.986524,2.831094,2.024453
2,10,91,1821,0.969729,-0.741059,-0.738571,-16.674023,1.581094,4.149453
2,10,92,1841,0.969729,-0.735688,-0.731247,-8.986524,0.018594,3.274453
2,10,93,1861,0.963381,-0.726899,-0.756149,-4.111524,-1.481406,2.649453
2,10,94,1881,0.958010,-0.733735,-0.758591,0.075977,-1.606406,1.649453
2,10,95,1901,0.955569,-0.743989,-0.768845,-1.111523,-1.668906,1.649453
2,10,96,1921,0.958499,-0.737153,-0.764450,-2.486523,-0.356406,1.211953
2,10,97,1941,0.961917,-0.730805,-0.753708,-1.861523,-0.918906,1.149453
2,10,98,1961,0.957522,-0.734223,-0.757126,-0.924023,-1.356406,0.961953
2,10,99,1981,0.955081,-0.735200,-0.758102,-2.549023,-2.106406,0.899453
2,11,0,0,0.932620,-0.657075,-0.919235,4.888476,1.456094,-6.850547
2,11,1,21,0.925784,-0.574067,-0.962204,9.075976,10.893594,-3.350547
2,11,2,41,0.930178,-0.535981,-0.933395,5.450976,20.206093,1.649453
2,11,3,61,0.931155,-0.538911,-0.888474,10.638476,26.518593,5.586953
2,11,4,81,0.916995,-0.474946,-0.867966,17.388477,34.081093,10.211953
2,11,5,101,0.930178,-0.368989,-0.766891,16.763477,46.206093,19.899452
2,11,6,121,0.938479,-0.285981,-0.622360,15.700976,53.018593,31.586952
2,11,7,141,0.934084,-0.241059,-0.502243,25.700977,52.268593,42.774452
2,11,8,161,0.931643,-0.333832,-0.358200,39.888477,46.706093,58.961952
2,11,9,181,0.912112,-0.476411,-0.263962,48.700977,40.581093,68.211952
2,11,10,201,0.883792,-0.587250,-0.203903,30.575977,38.268593,78.274452
2,11,11,221,0.864749,-0.715668,-0.141403,2.763477,33.081093,87.836952
2,11,12,241,0.856936,-0.893891,-0.107224,-15.924024,19.831093,93.524452
2,11,13,261,0.860354,-1.106782,-0.145798,-23.736523,3.143594,88.274452
2,11,14,281,0.882815,-1.315766,-0.219040,-39.986523,-18.168907,70.399452
2,11,15,301,0.924319,-1.468110,-0.322556,-55.799023,-42.793907,43.836952
2,11,16,321,0.960940,-1.532075,-0.449997,-77.299026,-61.918907,13.836953
2,11,17,341,1.006350,-1.505707,-0.592575,-85.361526,-82.918907,-14.100547
2,11,18,361,1.006838,-1.381196,-0.776657,-75.736526,-100.856407,-28.600548
2,11,19,381,0.951174,-1.286957,-1.027634,-74.736526,-102.043907,-20.788048
2,11,20,401,0.917971,-1.331391,-1.179489,-87.049026,-88.106407,-14.788047
2,11,21,421,0.922366,-1.340668,-1.245895,-82.861526,-75.793907,-26.913048
2,11,22,441,0.915530,-1.251801,-1.343063,-83.236526,-64.231407,-32.850548
2,11,23,461,0.884280,-1.168793,-1.397263,-91.861526,-49.106407,-29.100548
2,11,24,481,0.893557,-1.120942,-1.392380,-75.611526,-30.918907,-30.850548
2,11,25,501,0.899417,-1.084321,-1.356735,-53.861523,-23.543907,-35.038048
2,11,26,521,0.909670,-1.051606,-1.340134,-15.799024,-25.293907,-48.288048
2,11,27,541,0.879885,-0.956391,-1.379684,17.013477,-22.856407,-56.288048
2,11,28,561,0.865237,-0.882172,-1.387009,24.825977,2.706094,-54.850548
2,11,29,581,0.850100,-0.792817,-1.368942,35.888477,6.331094,-53.413048
2,11,30,601,0.835452,-0.710786,-1.271774,29.138477,27.081093,-51.913048
2,11,31,621,0.876467,-0.655610,-1.116013,23.013477,36.643593,-50.913048
2,11,32,641,0.882327,-0.601411,-1.027145,21.263477,38.143593,-51.850548
2,11,33,661,0.876467,-0.518403,-0.979294,28.513477,36.956093,-55.725548
2,11,34,681,0.890139,-0.394868,-0.940231,37.700977,30.393593,-53.038048
2,11,35,701,0.867190,-0.359223,-0.931931,51.388477,31.018593,-43.225548
2,11,36,721,0.840334,-0.348481,-0.911911,57.138477,41.768593,-37.413048
2,11,37,741,0.847659,-0.385102,-0.824997,43.513477,47.081093,-26.663048
2,11,38,761,0.858401,-0.398774,-0.744431,42.950977,50.393593,-21.225548
2,11,39,781,0.879885,-0.387055,-0.670212,36.888477,50.768593,-14.663047
2,11,40,801,0.906741,-0.417817,-0.605759,33.075977,47.956093,-6.225547
2,11,41,821,0.917971,-0.502289,-0.570602,27.950977,44.706093,-0.600547
2,11,42,841,0.932131,-0.596039,-0.543747,28.325977,35.268593,-1.413047
2,11,43,861,0.940920,-0.648286,-0.575485,38.888477,26.768593,-6.538047
2,11,44,881,0.957522,-0.651215,-0.590622,38.013477,21.768593,-10.850547
2,11,45,901,0.985842,-0.637543,-0.573044,23.638477,18.581093,-8.350547
2,11,46,921,1.005373,-0.639008,-0.567184,11.888476,16.018593,-4.788047
2,11,47,941,1.010745,-0.618500,-0.588669,7.825976,11.268594,-1.600547
2,11,48,961,1.004885,-0.643403,-0.616013,1.450977,7.393594,4.024453
2,11,49,981,0.998538,-0.682465,-0.632614,2.138477,3.268594,3.461953
2,11,50,1001,1.021487,-0.675629,-0.621384,7.825976,-1.481406,2.211953
2,11,51,1021,1.002932,-0.717621,-0.648727,11.325976,-7.793906,4.461953
2,11,52,1041,0.980959,-0.758637,-0.696091,8.388476,-9.231406,3.086953
2,11,53,1061,0.987307,-0.759614,-0.725876,0.825977,-9.418906,2.024453
2,11,54,1081,0.982424,-0.736176,-0.749802,-2.799023,-10.168906,1.461953
2,11,55,1101,0.968264,-0.725922,-0.768845,-2.611523,-9.981406,0.899453
2,11,56,1121,0.948733,-0.711762,-0.793747,-2.424023,-9.293906,0.586953
2,11,57,1141,0.932620,-0.701020,-0.814743,-2.299023,-7.731406,0.711953
2,11,58,1161,0.919924,-0.699067,-0.837692,-1.236523,-4.606406,0.149453
2,11,59,1181,0.923342,-0.700532,-0.845016,-1.424023,-1.356406,-1.975547
2,11,60,1201,0.931155,-0.692231,-0.838181,-2.799023,0.768594,-2.788047
2,11,61,1221,0.952639,-0.651215,-0.821091,-3.236523,1.956094,-3.225547
2,11,62,1241,0.970217,-0.617036,-0.816208,0.200977,1.518594,-0.975547
2,11,63,1261,0.965334,-0.631196,-0.812790,2.138477,2.143594,1.774453
2,11,64,1281,0.963870,-0.655121,-0.795212,-0.861523,2.456094,3.586953
2,11,65,1301,0.954104,-0.660981,-0.792282,-2.424023,2.331094,4.211953
